first,last,nickname,height_cm,weight,reach,stance,wins,losses,draws,sig_strikes_landed,sig_strikes_attempted,takedowns_landed,takedowns_attempted,str_landed_per_min,str_absorbed_per_min,td_avg_per_15min,sub_avg_per_15min,str_defense_pct,td_defense_pct,knockdown_avg,striking_accuracy_pct,takedown_accuracy_pct,ko_wins,ko_win_percentage,dec_wins,dec_win_percentage,sub_wins,sub_win_percentage,avg_fight_time_minutes
Jose,Barreto,,,185.0,,Southpaw,0,1,0,,,,,,,,,,,,,,,,,,,,
Peter,Barrett,Slippery,177.8,145.0,73.0,Southpaw,11,5,0,180.0,294.0,,18.0,4.18,4.32,1.39,0.0,,,0.0,61.0,22.0,7.0,64.0,2.0,18.0,2.0,18.0,14.35
Marc-Andre,Barriault,Powerbar,185.42,185.0,74.0,Orthodox,17,11,0,995.0,2115.0,1.0,14.0,5.65,5.94,0.34,0.09,,,0.34,47.0,29.0,11.0,65.0,5.0,29.0,1.0,6.0,10.35
David,Barrios,,167.64,145.0,,,4,8,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Alexandre,Barros,Baixinho,175.26,170.0,,Southpaw,22,11,0,8.0,20.0,,2.0,0.98,4.05,1.84,0.0,,,0.0,40.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,8.15
Ricardo,Barros,,185.42,205.0,,,2,2,0,0.0,2.0,,1.0,0.0,8.22,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.433333333333333
Francimar,Barroso,Bodao,185.42,205.0,75.0,Orthodox,19,7,0,318.0,603.0,,70.0,2.77,3.07,2.22,0.0,,,0.0,53.0,24.0,10.0,53.0,5.0,26.0,4.0,21.0,12.75
Pat,Barry,HD,180.34,235.0,74.0,Orthodox,8,7,0,188.0,361.0,,2.0,2.72,3.54,0.0,0.22,,,1.74,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.766666666666667
Dean,Barry,The Sniper,177.8,170.0,72.0,Orthodox,4,2,0,36.0,90.0,,,9.31,4.66,0.0,0.0,,,3.88,40.0,9.31,0.0,0.0,0.0,0.0,0.0,0.0,3.8666666666666663
Enrique,Barzola,El Fuerte,170.18,145.0,70.0,Orthodox,17,5,2,587.0,1412.0,37.0,92.0,3.91,2.97,4.2,0.3,,,0.0,42.0,46.0,5.0,29.0,8.0,47.0,4.0,24.0,15.0
Javid,Basharat,The Snow Leopard,175.26,135.0,69.0,Orthodox,15,2,0,510.0,934.0,,30.0,5.18,2.75,1.83,0.15,,,0.15,55.0,40.0,5.0,33.0,4.0,27.0,6.0,40.0,12.3
Farid,Basharat,Ferocious,172.72,135.0,71.0,Orthodox,15,0,0,401.0,767.0,3.0,47.0,4.25,2.89,3.34,0.32,,,0.0,52.0,45.0,1.0,7.0,8.0,53.0,6.0,40.0,13.466666666666669
Austin,Bashi,,167.64,145.0,70.0,Orthodox,14,1,0,47.0,99.0,3.0,34.0,1.75,2.34,7.81,1.67,,,0.0,47.0,41.0,3.0,21.0,5.0,36.0,6.0,43.0,8.966666666666667
Stephen,Bass,Bigfish,175.26,145.0,,Orthodox,11,2,0,73.0,140.0,,6.0,4.87,5.87,0.0,0.0,,0.0,,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Sean,Bassett,,,155.0,,,0,4,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Ryan,Bastianelli,Relentless,165.1,135.0,,,6,7,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Shayna,Baszler,The Queen of Spades,170.18,135.0,,Orthodox,15,11,0,111.0,362.0,,11.0,2.49,6.36,0.67,1.34,,,0.0,31.0,18.0,1.0,7.0,1.0,7.0,13.0,87.0,8.933333333333334
Namsrai,Batbayar,Steppe Warrior,162.56,125.0,68.0,Orthodox,10,1,0,70.0,154.0,,10.0,4.44,3.42,2.85,0.95,,,2.85,45.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5.266666666666667
Michel,Batista,,190.5,260.0,,Orthodox,4,1,0,,,,,0.0,4.03,6.72,0.0,,0.0,,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2333333333333334
Bryan,Battle,The Butcher,185.42,185.0,77.0,Orthodox,13,2,0,397.0,750.0,2.0,23.0,5.12,4.11,0.77,0.39,,,0.39,53.0,17.0,4.0,31.0,3.0,23.0,6.0,46.0,8.616666666666667
Alan,Baudot,The Black Samourai,190.5,243.0,79.0,Orthodox,8,3,0,167.0,285.0,,,5.36,4.82,0.0,0.0,,,0.48,59.0,5.36,7.0,88.0,1.0,13.0,0.0,0.0,7.783333333333333
Mario,Bautista,,175.26,135.0,69.0,Switch,17,3,0,750.0,1532.0,1.0,47.0,5.3,3.98,1.91,0.85,,,0.21,49.0,38.0,3.0,18.0,7.0,41.0,7.0,41.0,10.1
Chris,Beal,Real Deal,170.18,125.0,69.0,Orthodox,10,5,0,226.0,629.0,,12.0,3.45,3.18,1.6,0.23,,,0.23,36.0,58.0,3.0,30.0,7.0,70.0,0.0,0.0,13.1
