first,last,nickname,height_cm,weight,reach,stance,wins,losses,draws,sig_strikes_landed,sig_strikes_attempted,takedowns_landed,takedowns_attempted,str_landed_per_min,str_absorbed_per_min,td_avg_per_15min,sub_avg_per_15min,str_defense_pct,td_defense_pct,knockdown_avg,striking_accuracy_pct,takedown_accuracy_pct,ko_wins,ko_win_percentage,dec_wins,dec_win_percentage,sub_wins,sub_win_percentage,avg_fight_time_minutes
Chris,Fishgold,,172.72,145.0,68.0,Orthodox,18,4,1,70.0,217.0,1.0,13.0,2.01,2.7,2.59,1.29,,,0.0,32.0,46.0,2.0,11.0,3.0,17.0,13.0,72.0,8.7
Bryanna,Fissori,,162.56,145.0,,,2,4,0,,,,,,,,,,,,,,,,,,,,
Jon,Fitch,,182.88,170.0,74.0,Orthodox,30,7,1,663.0,1319.0,,119.0,2.61,1.65,3.6,0.83,,,0.18,50.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,13.366666666666667
Isi,Fitikefu,Doxz,177.8,205.0,,,6,0,0,,,,,,,,,,,,,,,,,,,,
Rafael,Fiziev,Ataman,172.72,155.0,71.0,Switch,13,5,0,681.0,1295.0,,12.0,4.71,4.84,0.83,0.0,,,0.21,53.0,67.0,8.0,62.0,4.0,31.0,1.0,8.0,12.066666666666666
Colin,Fletcher,The Freakshow,187.96,155.0,,Orthodox,14,8,0,93.0,268.0,,2.0,3.1,2.97,0.0,0.0,,,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
AJ,Fletcher,The Ghost,177.8,170.0,67.0,Switch,10,3,0,163.0,329.0,4.0,14.0,3.36,4.61,1.54,0.93,,,0.31,50.0,36.0,4.0,44.0,1.0,11.0,4.0,44.0,9.716666666666669
Nathan,Fletcher,,170.18,135.0,70.0,Orthodox,9,3,0,76.0,127.0,4.0,13.0,3.41,2.16,3.37,0.67,,,0.0,60.0,38.0,1.0,11.0,1.0,11.0,7.0,78.0,7.416666666666667
Jimmy,Flick,The Brick,170.18,125.0,68.0,Orthodox,17,9,0,106.0,208.0,,30.0,1.67,4.7,2.36,3.55,,0.0,,51.0,33.0,0.0,0.0,2.0,12.0,15.0,88.0,9.066666666666666
Luke,Flores,,182.88,155.0,73.0,Southpaw,9,2,0,20.0,45.0,,1.0,1.56,1.88,0.0,1.17,,,0.0,44.0,0.0,3.0,43.0,1.0,14.0,3.0,43.0,5.05
Ty,Flores,Big Medicine,190.5,205.0,73.0,Switch,7,3,0,30.0,80.0,,11.0,2.0,7.8,1.0,0.0,,0.0,,38.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Alejandro,Flores,El Gallito,177.8,145.0,73.0,Orthodox,17,3,0,29.0,71.0,,1.0,3.66,2.02,0.0,0.0,,0.0,,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.916666666666667
Kenny,Florian,KenFlo,177.8,145.0,74.0,Southpaw,14,6,0,456.0,1139.0,,84.0,2.41,1.85,2.22,1.27,,,0.08,40.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,10.533333333333331
Darrius,Flowers,Beast Mode,175.26,155.0,71.0,Orthodox,13,8,1,114.0,225.0,1.0,9.0,3.13,5.35,1.65,0.41,,,0.0,51.0,44.0,10.0,77.0,3.0,23.0,0.0,0.0,7.3
Cody,Floyd,,,,,,2,0,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Bobby,Flynn,,,170.0,,,6,4,0,,,,,,,,,,,,,,,,,,,,
Caros,Fodor,The Future,175.26,155.0,74.0,Orthodox,11,6,0,79.0,145.0,,16.0,2.76,2.83,2.1,0.0,,,0.0,54.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8
Mal,Foki,Twin Tiger,170.18,220.0,,Orthodox,5,5,0,1.0,7.0,,,2.86,14.29,0.0,0.0,,0.0,,14.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.35
Matt,Foki,Twin Tiger,170.18,220.0,,Orthodox,5,4,0,0.0,7.0,,,0.0,3.37,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2666666666666666
AJ,Fonseca,,162.56,145.0,,,5,4,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Rob,Font,,172.72,135.0,71.0,Orthodox,22,10,0,1421.0,3133.0,5.0,44.0,5.11,3.53,0.7,0.32,,,0.38,45.0,30.0,9.0,41.0,9.0,41.0,4.0,18.0,13.25
Claudionor,Fontinelle,,165.1,185.0,,Orthodox,10,15,1,,,,,,,,,,,,,,,,,,,,
Jesse,Forbes,Kid Hercules,187.96,185.0,75.0,Southpaw,15,5,0,53.0,217.0,,4.0,2.11,4.06,1.79,1.19,,,0.6,24.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,6.283333333333333
Sterling,Ford,,177.8,155.0,,,15,7,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Codale,Ford,Crunch Time,175.26,170.0,,,11,9,0,,,,,,,,,,,,,,,,,,,,
Raheam,Forest,Rambo,180.34,170.0,73.0,Switch,7,2,0,,,,,,,,,,,,,,,,,,,,
Jussier,Formiga,,165.1,125.0,67.0,Orthodox,23,8,0,257.0,649.0,15.0,62.0,1.42,2.34,1.82,0.58,,,0.17,40.0,35.0,0.0,0.0,13.0,57.0,10.0,43.0,11.3
Carol,Foro,Anabelle,157.48,115.0,61.0,Orthodox,9,1,0,117.0,212.0,,,7.8,7.67,0.0,0.0,,,3.0,55.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Renee,Forte,,170.18,155.0,71.0,Orthodox,8,4,0,,,,,,,,,,,,,,,,,,,,
Brianna,Fortino,The Bull,152.4,115.0,62.0,Southpaw,9,3,0,,,,,,,,,,,,,,,,,,,,
Marcel,Fortuna,,185.42,205.0,74.0,Orthodox,9,3,0,127.0,273.0,1.0,12.0,3.83,4.52,0.45,0.45,,,0.45,47.0,8.0,1.0,11.0,3.0,33.0,5.0,56.0,11.05
Tyrell,Fortune,,182.88,259.0,75.0,Orthodox,18,3,0,30.0,59.0,3.0,5.0,2.0,3.13,3.0,0.0,,,0.0,51.0,60.0,11.0,65.0,5.0,29.0,1.0,6.0,15.0
Brian,Foster,The Foster Boy,175.26,170.0,71.0,Orthodox,27,10,0,81.0,203.0,,10.0,3.3,1.63,3.67,1.83,,,0.61,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,4.916666666666667
Xavier,Foupa-Pokam,Professor X,185.42,185.0,,Open Stance,32,22,0,23.0,53.0,,,1.47,2.5,0.0,0.0,,,0.0,43.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,7.816666666666666
Mason,Fowler,,180.34,170.0,,,2,0,0,,,,,,,,,,,,,,,,,,,,
Brandon,Foxworth,,180.34,145.0,,Orthodox,18,4,0,11.0,34.0,,,1.33,4.59,0.0,0.0,,0.0,,32.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,8.283333333333333
Hermes,Franca,,167.64,155.0,71.0,Orthodox,24,17,0,280.0,708.0,,44.0,1.78,2.85,1.53,2.38,,,0.38,40.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,13.116666666666667
Glaico,Franca Moreira,Nego,182.88,155.0,77.0,Orthodox,15,5,0,,,,,,,,,,,,,,,,,,,,
Francisco,France,Kiko,182.88,205.0,,,13,5,1,,,,,,,,,,,,,,,,,,,,
John,Franchi,,167.64,145.0,67.0,Orthodox,6,2,0,82.0,168.0,,10.0,1.83,2.59,2.68,0.33,,,0.0,49.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,14.95
Felipe,Franco,,185.42,205.0,76.0,Orthodox,10,2,0,54.0,106.0,,16.0,1.81,2.55,3.02,0.0,,,0.0,51.0,38.0,6.0,60.0,0.0,0.0,4.0,40.0,14.9
Rich,Franklin,Ace,185.42,185.0,76.0,Southpaw,29,7,0,937.0,2126.0,,30.0,4.1,2.07,1.31,0.66,,,0.72,44.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,8.166666666666666
Xavier,Franklin,Mr. Benjamin,167.64,135.0,66.0,Southpaw,5,1,0,,,,,,,,,,,,,,,,,,,,
Zoila,Frausto,Warrior Princess,162.56,135.0,,Orthodox,13,5,0,,,,,,,,,,,,,,,,,,,,
Stephanie,Frausto,Lil Bovy,157.48,115.0,61.0,Orthodox,8,7,0,4.0,19.0,,,1.43,3.57,0.0,0.0,,0.0,,21.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,2.8
Zane,Frazier,Nasty,195.58,250.0,,Orthodox,4,11,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Gary,Frazier,,182.88,245.0,,Orthodox,3,3,0,13.0,33.0,,2.0,1.5,2.77,0.0,0.0,,,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.65
Justin,Frazier,The Grizzly Bear,182.88,265.0,75.0,Southpaw,10,3,0,4.0,6.0,,,1.11,6.11,0.0,0.0,,0.0,,67.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,3.6
Ian,Freeman,The Machine,180.34,225.0,,Orthodox,20,7,1,53.0,109.0,,5.0,2.54,3.11,1.44,0.72,,,0.0,49.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,6.966666666666667
Jason,Freeman,,187.96,225.0,,,6,4,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Kennedy,Freeman,The Machine 2.0,,125.0,,,6,0,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Denzel,Freeman,Luke Fox,185.42,265.0,77.0,Southpaw,7,2,0,49.0,86.0,,1.0,2.45,3.4,0.0,0.0,,,0.0,57.0,0.0,4.0,57.0,2.0,29.0,1.0,14.0,10.0
Willamy,Freire,Chiquerim,172.72,155.0,,Orthodox,26,6,0,46.0,124.0,,1.0,1.53,0.93,0.5,0.0,,,0.0,37.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Patricky,Freire,Pitbull,170.18,155.0,71.0,,17,8,0,,,,,,,,,,,,,,,,,,,,
Jeremy,Freitag,,185.42,205.0,,,6,10,0,,,,,,,,,,,,,,,,,,,,
Rafael,Freitas,Capoeira,,205.0,,Orthodox,3,6,0,,,,,,,,,,,,,,,,,,,,
Donavon,Frelow,,170.18,135.0,,Orthodox,6,3,0,36.0,129.0,,1.0,2.4,3.2,1.0,0.0,,,0.0,28.0,100.0,0.0,0.0,2.0,33.0,4.0,67.0,15.0
Josh,Fremd,,193.04,185.0,76.0,Orthodox,11,6,0,173.0,389.0,1.0,12.0,2.52,2.23,0.66,1.09,,,0.0,44.0,25.0,4.0,36.0,3.0,27.0,4.0,36.0,11.433333333333334
Clay,French,,170.18,161.0,,Southpaw,19,7,0,,,,,,,,,,,,,,,,,,,,
Mike,French,,177.8,145.0,,,9,10,0,7.0,30.0,,1.0,0.23,2.17,0.0,1.0,,,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Matt,Frevola,The SteamRolla,175.26,155.0,71.0,Orthodox,11,6,1,360.0,910.0,,41.0,3.3,3.76,2.34,0.83,,,0.96,40.0,41.0,4.0,36.0,4.0,36.0,3.0,27.0,8.383333333333333
Jinh Yu,Frey,,160.02,115.0,65.0,Southpaw,11,10,0,307.0,710.0,3.0,19.0,2.97,4.23,1.02,0.29,,,0.0,43.0,37.0,1.0,9.0,8.0,73.0,2.0,18.0,12.9
Artem,Frolov,,177.8,185.0,,,11,0,0,,,,,,,,,,,,,,,,,,,,
Sarah,Frota,A Treta,167.64,125.0,69.0,Southpaw,9,2,0,125.0,237.0,,1.0,4.52,2.57,0.0,0.0,,,0.54,53.0,0.0,2.0,22.0,2.0,22.0,5.0,56.0,9.216666666666669
Daniel,Frunza,,185.42,170.0,73.0,Orthodox,9,4,0,91.0,236.0,,,3.25,4.32,0.0,0.0,,,0.0,39.0,3.25,8.0,89.0,1.0,11.0,0.0,0.0,9.333333333333334
Don,Frye,The Predator,185.42,219.0,,Orthodox,20,9,1,190.0,294.0,,7.0,2.87,3.57,0.91,0.68,,,0.45,65.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,9.45
Allen,Frye Jr.,,195.58,265.0,80.0,Orthodox,6,1,0,33.0,86.0,,,2.2,4.27,0.0,0.0,,0.0,,38.0,2.2,6.0,100.0,0.0,0.0,0.0,0.0,15.0
Tony,Fryklund,The Freak,182.88,185.0,,Orthodox,14,9,1,,,,,,,,,,,,,,,,,,,,
Adam,Fugitt,,185.42,170.0,77.0,Southpaw,10,6,0,224.0,479.0,1.0,22.0,4.88,5.33,1.63,0.0,,,0.0,47.0,23.0,5.0,50.0,2.0,20.0,3.0,30.0,7.65
Jesse,Fujarczyk,The Ronin,193.04,225.0,,Southpaw,2,2,0,4.0,12.0,,1.0,1.03,4.91,0.0,0.0,,,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9333333333333331
Katsuhisa,Fujii,Shamoji,182.88,205.0,,Orthodox,9,18,1,,,,,,,,,,,,,,,,,,,,
Megumi,Fujii,Mega Megu,160.02,113.0,,,26,3,0,,,,,,,,,,,,,,,,,,,,
Kazuyuki,Fujita,Ironhead,182.88,235.0,,Orthodox,15,12,0,,,,,,,,,,,,,,,,,,,,
Keisuke,Fujiwara,,167.64,139.0,,Switch,17,12,5,,,,,,,,,,,,,,,,,,,,
Riki,Fukuda,,182.88,185.0,73.0,Southpaw,24,9,0,382.0,880.0,,30.0,4.24,3.71,2.17,0.0,,,0.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Machi,Fukuda,Kakutou Komachi,152.4,115.0,61.0,Southpaw,11,2,0,,,,,,,,,,,,,,,,,,,,
Masio,Fullen,Lobo,177.8,145.0,70.0,Orthodox,11,7,0,78.0,243.0,,3.0,2.46,3.5,0.47,0.0,,,0.0,32.0,33.0,3.0,30.0,2.0,20.0,5.0,50.0,10.566666666666666
Travis,Fulton,The Ironman,182.88,240.0,,Orthodox,253,53,10,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Sam,Fulton,,,,,,0,2,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Masakatsu,Funaki,,182.88,185.0,,Southpaw,39,13,2,,,,,,,,,,,,,,,,,,,,
Ricardo,Funch,Golden Boy,177.8,170.0,74.0,Southpaw,9,6,0,95.0,146.0,,16.0,2.61,3.57,1.24,0.0,,,0.0,65.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1
Katsuaki,Furuki,,182.88,168.0,,,1,1,0,,,,,,,,,,,,,,,,,,,,
James,Gabert,,,178.0,,,6,4,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Gustavo,Gabriel,,167.64,125.0,,Orthodox,13,1,0,39.0,60.0,,2.0,4.06,4.26,0.0,0.0,,,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.616666666666667
Claudia,Gadelha,Claudinha,162.56,115.0,63.0,Orthodox,18,5,0,590.0,1420.0,31.0,84.0,3.31,4.57,3.03,0.67,,,0.08,42.0,43.0,2.0,12.0,8.0,47.0,7.0,41.0,14.833333333333334
Alavutdin,Gadjiev,,187.96,185.0,,Orthodox,18,13,1,,,,,,,,,,,,,,,,,,,,
Magomed,Gadzhiyasulov,,187.96,205.0,75.0,Orthodox,9,1,0,130.0,262.0,5.0,15.0,2.89,1.64,3.67,0.0,,,0.0,50.0,73.0,5.0,56.0,3.0,33.0,1.0,11.0,15.0
Justin,Gaethje,The Highlight,180.34,155.0,70.0,Orthodox,27,5,0,1180.0,2016.0,,10.0,6.48,7.05,0.33,0.0,,,0.74,59.0,40.0,20.0,74.0,6.0,22.0,1.0,4.0,12.15
Sheila,Gaff,The German Tank,165.1,135.0,,Orthodox,9,7,0,10.0,20.0,,,1.6,2.89,0.0,0.0,,,0.0,50.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,3.1166666666666667
Muin,Gafurov,Tajik,170.18,135.0,68.0,Orthodox,20,7,0,256.0,544.0,,28.0,3.36,2.51,1.57,0.0,,,0.2,47.0,29.0,10.0,50.0,3.0,15.0,7.0,35.0,12.7
Mitch,Gagnon,,165.1,135.0,65.0,Southpaw,12,5,0,215.0,463.0,6.0,24.0,2.76,2.21,1.16,1.93,,,0.58,46.0,25.0,1.0,8.0,1.0,8.0,10.0,83.0,9.733333333333333
Brandon,Gaines,,190.5,185.0,,,5,21,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Travis,Galbraith,The Gladiator,182.88,170.0,,Orthodox,18,7,0,,,,,,,,,,,,,,,,,,,,
Dave,Galera,Scarecrow,180.34,135.0,,Orthodox,5,1,0,25.0,36.0,,,1.67,0.53,0.0,2.0,,,0.0,69.0,1.67,2.0,40.0,0.0,0.0,3.0,60.0,15.0
Zelg,Galesic,Benkei,187.96,185.0,,Orthodox,11,9,0,,,,,,,,,,,,,,,,,,,,
Mickey,Gall,,187.96,170.0,74.0,Switch,7,7,0,366.0,738.0,4.0,25.0,3.5,4.72,1.15,1.58,,,0.29,50.0,32.0,0.0,0.0,1.0,14.0,6.0,86.0,8.05
Daniel,Gallemore,Big Kansas,195.58,265.0,,,7,3,0,31.0,75.0,,,3.1,6.0,0.0,0.0,,0.0,,41.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Tom,Gallicchio,Da Tank,177.8,170.0,,Southpaw,19,10,0,53.0,200.0,1.0,9.0,3.53,7.07,1.0,0.0,,0.0,,27.0,11.0,0.0,0.0,6.0,32.0,13.0,68.0,15.0
Turrell,Galloway,,160.02,145.0,,,8,6,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Eric,Galvan,,,155.0,,,0,0,0,,,,,,,,,,,,,,,,,,,,
Andre,Galvao,,170.18,168.0,,Orthodox,5,2,0,87.0,165.0,,18.0,2.34,1.56,2.02,2.83,,0.0,,53.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,10.416666666666666
Marcos,Galvao,Loro,170.18,135.0,,Orthodox,18,8,1,26.0,81.0,,7.0,1.97,3.86,2.27,1.14,,,0.0,32.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4
Lucas,Gamaza,,,170.0,,,8,4,0,26.0,83.0,,3.0,7.57,6.99,0.0,0.0,,0.0,,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.433333333333333
Joey,Gambino,The Raging Warrior,170.18,145.0,,Orthodox,9,2,0,44.0,124.0,,6.0,2.47,2.53,0.0,0.84,,,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9
Manvel,Gamburyan,The Anvil,165.1,135.0,67.0,Orthodox,15,10,0,,,,,,,,,,,,,,,,,,,,
Mateusz,Gamrot,Gamer,177.8,155.0,70.0,Southpaw,26,4,0,498.0,966.0,12.0,140.0,3.21,2.81,5.22,0.19,,,0.1,52.0,39.0,8.0,31.0,12.0,46.0,6.0,23.0,11.933333333333334
Shamil,Gamzatov,,187.96,205.0,76.0,Orthodox,14,1,0,99.0,205.0,,3.0,5.35,3.46,0.0,0.0,,,0.0,48.0,0.0,5.0,36.0,4.0,29.0,5.0,36.0,9.266666666666667
Ryan,Gandra,Problema,185.42,185.0,74.0,Orthodox,9,1,0,46.0,91.0,,,13.02,1.7,0.0,0.0,,,8.49,51.0,13.02,5.0,56.0,2.0,22.0,2.0,22.0,1.7666666666666666
Ariel,Gandulla,,180.34,205.0,,Orthodox,7,9,0,31.0,133.0,,3.0,1.95,2.07,1.88,0.0,,0.0,,23.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,7.966666666666667
Ciryl,Gane,Bon Gamin,193.04,247.0,81.0,Orthodox,13,2,0,929.0,1507.0,,32.0,5.29,2.33,0.68,0.6,,,0.26,62.0,25.0,6.0,46.0,4.0,31.0,3.0,23.0,13.5
Sean,Gannon,The Cannon,190.5,265.0,,Southpaw,2,1,0,0.0,3.0,,,0.0,6.38,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.233333333333333
Tommy,Gantt,,180.34,155.0,76.0,Orthodox,12,0,0,,,,,,,,,,,,,,,,,,,,
Junye,Gao,,,125.0,,,19,12,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Eduardo,Garagorri,,175.26,145.0,70.0,Orthodox,13,2,0,,,,,,,,,,,,,,,,,,,,
Cody,Garbrandt,No Love,172.72,135.0,65.0,Orthodox,15,7,0,490.0,1214.0,5.0,44.0,2.79,3.66,0.85,0.0,,,0.94,40.0,23.0,11.0,73.0,4.0,27.0,0.0,0.0,10.333333333333334
Leonard,Garcia,Bad Boy,177.8,145.0,68.0,Orthodox,18,13,1,552.0,2234.0,4.0,15.0,2.77,4.79,0.3,0.53,,,0.3,25.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7
Edgar,Garcia,,177.8,170.0,71.0,Orthodox,14,5,0,86.0,289.0,,7.0,3.16,4.23,2.21,0.55,,,0.55,30.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,5.433333333333334
Alejandro,Garcia,Alex,170.18,145.0,,,14,10,0,15.0,24.0,,8.0,1.22,1.14,8.55,0.0,,,0.0,63.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,12.283333333333331
Alex,Garcia,The Dominican Nightmare,175.26,170.0,72.0,Orthodox,15,6,0,212.0,676.0,28.0,55.0,1.81,3.03,3.72,0.13,,,0.38,31.0,53.0,6.0,40.0,3.0,20.0,6.0,40.0,11.7
Nick,Garcia,Nitro,162.56,125.0,,,8,3,0,,,,,,,,,,,,,,,,,,,,
Steve,Garcia,Mean Machine,182.88,145.0,75.0,Southpaw,19,5,0,377.0,769.0,4.0,10.0,5.39,2.12,0.86,0.43,,,2.36,49.0,40.0,15.0,79.0,4.0,21.0,0.0,0.0,5.833333333333333
Elias,Garcia,,165.1,125.0,67.0,Southpaw,6,2,0,35.0,127.0,,7.0,1.59,5.05,0.68,1.36,,,0.68,28.0,14.0,2.0,33.0,1.0,17.0,3.0,50.0,11.0
Rafa,Garcia,Gifted,170.18,155.0,70.0,Orthodox,19,4,0,637.0,1439.0,12.0,70.0,4.28,4.42,3.22,0.4,,,0.1,44.0,46.0,2.0,11.0,9.0,47.0,8.0,42.0,13.55
Fernie,Garcia,,170.18,135.0,67.0,Orthodox,10,5,0,111.0,323.0,,2.0,2.04,3.79,0.28,0.55,,,0.28,34.0,50.0,3.0,30.0,6.0,60.0,1.0,10.0,10.866666666666667
Rulon,Gardner,,190.5,265.0,,Orthodox,1,0,0,,,,,,,,,,,,,,,,,,,,
David,Gardner,,180.34,155.0,,Orthodox,18,21,0,,,,,,,,,,,,,,,,,,,,
Pablo,Garza,The Scarecrow,185.42,145.0,73.0,Orthodox,12,4,0,161.0,365.0,,12.0,3.37,2.7,0.94,1.26,,,0.31,44.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,6.833333333333333
Magomedrasul,Gasanov,,,185.0,,,23,2,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Azamat,Gashimov,,167.64,125.0,,Orthodox,8,3,0,11.0,51.0,,4.0,1.24,4.75,1.69,0.0,,0.0,,22.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,4.433333333333334
Brian,Gassaway,,185.42,170.0,,Orthodox,29,20,2,4.0,15.0,,,0.34,3.65,0.0,0.0,,,0.0,27.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,5.883333333333334
Kelvin,Gastelum,,175.26,185.0,71.0,Southpaw,21,11,0,1269.0,2995.0,9.0,68.0,3.65,3.52,1.04,0.09,,,0.43,42.0,35.0,6.0,29.0,9.0,43.0,6.0,29.0,13.35
Willie,Gates,,172.72,125.0,72.0,Orthodox,12,7,0,67.0,172.0,,,1.8,4.28,0.0,0.4,,,0.81,39.0,1.8,6.0,50.0,3.0,25.0,3.0,25.0,9.3
Melissa,Gatto,,165.1,125.0,69.0,Orthodox,9,3,2,265.0,533.0,1.0,33.0,3.47,2.67,1.77,0.39,,,0.2,50.0,27.0,3.0,33.0,2.0,22.0,4.0,44.0,12.733333333333333
Sean,Gauci,,165.1,125.0,64.0,Switch,10,1,0,,,,,,,,,,,,,,,,,,,,
Louis,Gaudinot,Goodnight,160.02,125.0,63.0,Orthodox,8,4,0,124.0,332.0,,5.0,2.34,6.42,0.57,1.13,,,0.0,37.0,40.0,2.0,29.0,2.0,29.0,3.0,43.0,10.616666666666667
Ateba,Gautier,The Storm,193.04,185.0,81.0,Switch,11,1,0,158.0,360.0,,1.0,4.32,2.6,0.41,0.0,,,2.87,44.0,100.0,9.0,82.0,2.0,18.0,0.0,0.0,6.1
Manuel,Gaxhja,,172.72,155.0,,Switch,7,0,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Shamil,Gaziev,,193.04,265.0,78.0,Orthodox,14,3,0,167.0,363.0,,12.0,2.94,4.92,1.06,0.26,,,0.53,46.0,33.0,9.0,64.0,2.0,14.0,3.0,21.0,8.116666666666667
Charlene,Gellner,Princess,157.48,125.0,,,0,4,0,18.0,42.0,,4.0,2.01,3.24,0.0,1.68,,0.0,,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.95
Chad,George,Savage,167.64,135.0,68.0,Southpaw,16,8,0,43.0,86.0,,15.0,1.26,1.11,3.08,1.32,,0.0,,50.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,8.533333333333333
Paul,Georgieff,,187.96,170.0,,Orthodox,6,2,0,12.0,30.0,,2.0,2.55,2.34,0.0,0.0,,0.0,,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7
Brian,Geraghty,Duke,170.18,155.0,,Orthodox,26,18,1,1.0,4.0,,,0.47,9.77,0.0,0.0,,,0.0,25.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,2.15
Derek,Getzel,The Pretzel,182.88,155.0,,,8,5,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Karine,Gevorgyan,The Princess,162.56,125.0,63.0,,3,3,0,2.0,10.0,,2.0,1.2,1.8,0.0,0.0,,0.0,,20.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0,1.6666666666666667
Yanis,Ghemmouri,The Desert Warrior,175.26,135.0,69.0,Orthodox,12,3,0,29.0,75.0,,4.0,2.29,5.14,0.0,0.0,,0.0,,39.0,0.0,3.0,25.0,5.0,42.0,4.0,33.0,6.333333333333333
Darrel,Gholar,,172.72,194.0,,Orthodox,5,6,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Tiki,Ghosn,,177.8,170.0,,Orthodox,10,7,1,101.0,217.0,,2.0,2.78,2.94,0.41,0.0,,,0.0,47.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,8.483333333333333
Christos,Giagos,The Spartan,177.8,155.0,71.0,Orthodox,20,12,0,353.0,844.0,1.0,60.0,3.03,3.21,2.84,0.39,,,0.13,42.0,37.0,8.0,40.0,8.0,40.0,4.0,20.0,8.316666666666666
Joe,Giannetti,,182.88,155.0,74.0,Southpaw,6,1,0,29.0,75.0,1.0,6.0,1.93,2.8,1.0,0.0,,0.0,,39.0,17.0,0.0,0.0,1.0,14.0,6.0,86.0,15.0
Nick,Gibbons,,177.8,155.0,,,2,1,0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
James,Giboo,,180.34,170.0,,Orthodox,13,5,0,9.0,33.0,,6.0,1.2,7.08,0.0,0.0,,0.0,,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.483333333333333
